"trial_type","trial_index","time_elapsed","internal_node_id","subject","align_condition","anecdote_condition","view_history","rt","url","responses","stimulus","button_pressed"
"pavlovia","0","56","0.0-0.0","695sv14folkcya0","lowA","anecdote","","","","","",""
"instructions","1","4185","0.0-1.0","695sv14folkcya0","lowA","anecdote","[{""page_index"":0,""viewing_time"":1540.6700000021374},{""page_index"":1,""viewing_time"":1539.7199999933946},{""page_index"":2,""viewing_time"":537.625000004482},{""page_index"":3,""viewing_time"":509.07500000175787}]","4128.564999999071","","","",""
"external-html","2","7297","0.0-2.0","695sv14folkcya0","lowA","anecdote","","3100.880000005418","js/consent.html","","",""
"survey-html-form","3","10559","0.0-3.0","695sv14folkcya0","lowA","anecdote","","3259.075000001758","","{""contact"":""no"",""address"":""""}","",""
"survey-html-form","4","15467","0.0-4.0","695sv14folkcya0","lowA","anecdote","","4906.159999998636","","{""sona"":""Harry Kelly""}","",""
"survey-html-form","5","20714","0.0-5.0","695sv14folkcya0","lowA","anecdote","","5244.209999997111","","{""sex"":""male"",""age"":""18"",""other"":"""",""business_exp"":""2"",""business_edu"":""0""}","",""
"instructions","6","22919","0.0-6.0","695sv14folkcya0","lowA","anecdote","[{""page_index"":0,""viewing_time"":1096.9899999981862},{""page_index"":1,""viewing_time"":449.2900000041118},{""page_index"":2,""viewing_time"":657.695000001695}]","2204.375000001164","","","",""
"survey-html-form3","7","93167","0.0-7.0","695sv14folkcya0","lowA","anecdote","","NaN","","{""allocation_q_projectA"":""70"",""allocation_q_projectB"":""30""}","",""
"survey-html-form","8","372395","0.0-8.0","695sv14folkcya0","lowA","anecdote","","279217.20999999525","","{""follow_up_q_similarity_rating"":""2"",""follow_up_q_similarity_justify"":""Different in many aspects such as: probability to find oil, oil extracted and time before machinery requires servicing, yet similar such that both involve extracting oil."",""follow_up_q_relevance_specific_rating"":""4"",""follow_up_q_relevance_specific_justify"":""Information on the Refinera project and it's outcome can be used to analyse the information on the Enfuel project to see how it is different and therefore determine whether it will be successful."",""follow_up_q_relevance_general_rating"":""1"",""follow_up_q_relevance_general_justify"":""The information alone is only a single case study and therefore doesn't offer insight into the general trends for the outcomes of investing in any oil well project.""}","",""
"instructions","9","383844","0.0-9.0","695sv14folkcya0","lowA","anecdote","[{""page_index"":0,""viewing_time"":6686.499999996158},{""page_index"":1,""viewing_time"":4761.500000000524}]","11448.449999996228","","","",""
"html-button-response","10","385522","0.0-10.0","695sv14folkcya0","lowA","anecdote","","1674.4649999964167","","","<p>Press below to complete the experiment. <br >Thank you!</p>","0"
