"trial_type","trial_index","time_elapsed","internal_node_id","subject","align_condition","anecdote_condition","view_history","rt","url","responses","stimulus","button_pressed"
"pavlovia","0","78","0.0-0.0","afh52ujd1l98x7x","lowA","anecdote","","","","","",""
"instructions","1","26439","0.0-1.0","afh52ujd1l98x7x","lowA","anecdote","[{""page_index"":0,""viewing_time"":1941.2600000068778},{""page_index"":1,""viewing_time"":2050.099999993108},{""page_index"":2,""viewing_time"":20456.174999999348},{""page_index"":3,""viewing_time"":1909.5800000068266}]","26358.35500000394","","","",""
"external-html","2","33811","0.0-2.0","afh52ujd1l98x7x","lowA","anecdote","","7026.190000004135","js/consent.html","","",""
"survey-html-form","3","41440","0.0-3.0","afh52ujd1l98x7x","lowA","anecdote","","7625.114999988","","{""contact"":""no"",""address"":""""}","",""
"survey-html-form","4","53836","0.0-4.0","afh52ujd1l98x7x","lowA","anecdote","","12393.905000004452","","{""sona"":""Benjamin Cramer""}","",""
"survey-html-form","5","67023","0.0-5.0","afh52ujd1l98x7x","lowA","anecdote","","13183.705000003101","","{""sex"":""male"",""age"":""20"",""other"":"""",""business_exp"":""0"",""business_edu"":""0""}","",""
"instructions","6","80496","0.0-6.0","afh52ujd1l98x7x","lowA","anecdote","[{""page_index"":0,""viewing_time"":4271.059999999125},{""page_index"":1,""viewing_time"":2126.044999997248},{""page_index"":2,""viewing_time"":7074.095000003581}]","13471.61999999662","","","",""
"survey-html-form3","7","208627","0.0-7.0","afh52ujd1l98x7x","lowA","anecdote","","NaN","","{""allocation_q_projectA"":""70"",""allocation_q_projectB"":""30""}","",""
"survey-html-form","8","329829","0.0-8.0","afh52ujd1l98x7x","lowA","anecdote","","121195.81000000471","","{""follow_up_q_similarity_rating"":""5"",""follow_up_q_similarity_justify"":""they are both oil companies dealing with the same problems"",""follow_up_q_relevance_specific_rating"":""6"",""follow_up_q_relevance_specific_justify"":""the amounts needed for the refinera project helped put the enfuel into perspective"",""follow_up_q_relevance_general_rating"":""3"",""follow_up_q_relevance_general_justify"":""somewhat relevant, if you dont have ay experience in oil then it is a good starting point""}","",""
"instructions","9","371708","0.0-9.0","afh52ujd1l98x7x","lowA","anecdote","[{""page_index"":0,""viewing_time"":37540.615000005346},{""page_index"":1,""viewing_time"":4335.959999996703}]","41877.01000001107","","","",""
"html-button-response","10","373651","0.0-10.0","afh52ujd1l98x7x","lowA","anecdote","","1939.8050000017975","","","<p>Press below to complete the experiment. <br >Thank you!</p>","0"
