"trial_type","trial_index","time_elapsed","internal_node_id","subject","align_condition","anecdote_condition","view_history","rt","url","responses","stimulus","button_pressed"
"pavlovia","0","43","0.0-0.0","b8pxpvgmt1q86jp","highA","anecdote","","","","","",""
"instructions","1","40907","0.0-1.0","b8pxpvgmt1q86jp","highA","anecdote","[{""page_index"":0,""viewing_time"":29826.07499998994},{""page_index"":1,""viewing_time"":2927.3000000976026},{""page_index"":2,""viewing_time"":2688.059999840334},{""page_index"":1,""viewing_time"":2349.9549999833107},{""page_index"":2,""viewing_time"":1952.8000000864267},{""page_index"":3,""viewing_time"":1114.9599999189377}]","40863.154999911785","","","",""
"external-html","2","49366","0.0-2.0","b8pxpvgmt1q86jp","highA","anecdote","","8117.299999808893","js/consent.html","","",""
"survey-html-form","3","52631","0.0-3.0","b8pxpvgmt1q86jp","highA","anecdote","","3260.5049998965114","","{""contact"":""no"",""address"":""""}","",""
"survey-html-form","4","64429","0.0-4.0","b8pxpvgmt1q86jp","highA","anecdote","","11796.564999967813","","{""sona"":""Christine Wu""}","",""
"survey-html-form","5","82146","0.0-5.0","b8pxpvgmt1q86jp","highA","anecdote","","17713.129999814555","","{""sex"":""female"",""age"":""18"",""other"":"""",""business_exp"":""0"",""business_edu"":""0""}","",""
"instructions","6","90589","0.0-6.0","b8pxpvgmt1q86jp","highA","anecdote","[{""page_index"":0,""viewing_time"":3016.129999887198},{""page_index"":1,""viewing_time"":1213.3750000502914},{""page_index"":2,""viewing_time"":4210.544999921694}]","8441.344999941066","","","",""
"survey-html-form3","7","224197","0.0-7.0","b8pxpvgmt1q86jp","highA","anecdote","","NaN","","{""allocation_q_projectA"":""40"",""allocation_q_projectB"":""60""}","",""
"survey-html-form","8","453187","0.0-8.0","b8pxpvgmt1q86jp","highA","anecdote","","228985.47499999404","","{""follow_up_q_similarity_rating"":""3"",""follow_up_q_similarity_justify"":""They are both onshore oil companies that work similarly- though enfuel does not face the same challenges that refinera did... horizontal integration vs refinera's vertical integration"",""follow_up_q_relevance_specific_rating"":""3"",""follow_up_q_relevance_specific_justify"":""Since they're in the same market and such, it is relevant- however, the refinera case study was not successful due to an array of fairly specific circumstances- vertical integration, machines such and such, that doesnt apply to enfuel"",""follow_up_q_relevance_general_rating"":""2"",""follow_up_q_relevance_general_justify"":""Refinera was a very specific case, which may not apply to any oil well product""}","",""
"instructions","9","472858","0.0-9.0","b8pxpvgmt1q86jp","highA","anecdote","[{""page_index"":0,""viewing_time"":18298.1050000526},{""page_index"":1,""viewing_time"":1369.5050000678748}]","19668.695000000298","","","",""
"html-button-response","10","474575","0.0-10.0","b8pxpvgmt1q86jp","highA","anecdote","","1711.4349999465048","","","<p>Press below to complete the experiment. <br >Thank you!</p>","0"
