"trial_type","trial_index","time_elapsed","internal_node_id","subject","align_condition","anecdote_condition","view_history","rt","url","responses","stimulus","button_pressed"
"pavlovia","0","18","0.0-0.0","fptnkms5q0cd24m","lowA","combined","","","","","",""
"instructions","1","46388630","0.0-1.0","fptnkms5q0cd24m","lowA","combined","[{""page_index"":0,""viewing_time"":46337625.71500009},{""page_index"":1,""viewing_time"":30414.31499993801},{""page_index"":2,""viewing_time"":12975.925000041723},{""page_index"":3,""viewing_time"":13325.560000024736}]","46394343.69000001","","","",""
"external-html","2","46416498","0.0-2.0","fptnkms5q0cd24m","lowA","combined","","26148.805000007153","js/consent.html","","",""
"survey-html-form","3","46421418","0.0-3.0","fptnkms5q0cd24m","lowA","combined","","4911.434999898076","","{""contact"":""no"",""address"":""""}","",""
"survey-html-form","4","46524863","0.0-4.0","fptnkms5q0cd24m","lowA","combined","","103441.98999995738","","{""sona"":""Meha Batra""}","",""
"survey-html-form","5","46550149","0.0-5.0","fptnkms5q0cd24m","lowA","combined","","25281.465000011027","","{""sex"":""female"",""age"":""18"",""other"":"""",""business_exp"":""0"",""business_edu"":""0""}","",""
"instructions","6","46631948","0.0-6.0","fptnkms5q0cd24m","lowA","combined","[{""page_index"":0,""viewing_time"":13919.789999954402},{""page_index"":1,""viewing_time"":3852.1300000175834},{""page_index"":2,""viewing_time"":64022.849999949336}]","81797.3050000146","","","",""
"survey-html-form3","7","46800785","0.0-7.0","fptnkms5q0cd24m","lowA","combined","","NaN","","{""allocation_q_projectA"":""70"",""allocation_q_projectB"":""30""}","",""
"survey-html-form","8","47105325","0.0-8.0","fptnkms5q0cd24m","lowA","combined","","304535.03000002354","","{""follow_up_q_similarity_rating"":""5"",""follow_up_q_similarity_justify"":""The extraction of oil in mL was similar, among other metrics. However, not all metrics were exactly the same, the reliability for Enfuel was higher. "",""follow_up_q_relevance_specific_rating"":""4"",""follow_up_q_relevance_specific_justify"":""It was relevant, given the similarities, in order to provide some insights in to the potential for Enfuel's success. However it could not be entirely indicative, as the two projects differed, especially in reliability, which is a key differentiator in the potential for success. "",""follow_up_q_relevance_general_rating"":""2"",""follow_up_q_relevance_general_justify"":""It provides information and thus a guide, however, the details of each project - Refinera versus any oil well project may differ significantly, so there isn't a guaranteed correlation and thus an unpredictable usefulness of Refinera providing beneficial insights for other investments. ""}","",""
"instructions","9","47179817","0.0-9.0","fptnkms5q0cd24m","lowA","combined","[{""page_index"":0,""viewing_time"":70599.25500001013},{""page_index"":1,""viewing_time"":3889.310000002384}]","74489.41000004113","","","",""
"html-button-response","10","47181407","0.0-10.0","fptnkms5q0cd24m","lowA","combined","","1585.0750000700355","","","<p>Press below to complete the experiment. <br >Thank you!</p>","0"
