"trial_type","trial_index","time_elapsed","internal_node_id","subject","align_condition","anecdote_condition","view_history","rt","url","responses","stimulus","button_pressed"
"pavlovia","0","135","0.0-0.0","nytmf172to4ybdf","highA","combined","","","","","",""
"instructions","1","36672","0.0-1.0","nytmf172to4ybdf","highA","combined","[{""page_index"":0,""viewing_time"":10368.405000073835},{""page_index"":1,""viewing_time"":19918.259999947622},{""page_index"":2,""viewing_time"":3184.60999999661},{""page_index"":3,""viewing_time"":3063.495000009425}]","36536.085000028834","","","",""
"external-html","2","41330","0.0-2.0","nytmf172to4ybdf","highA","combined","","4270.069999969564","js/consent.html","","",""
"survey-html-form","3","45603","0.0-3.0","nytmf172to4ybdf","highA","combined","","4269.050000002608","","{""contact"":""no"",""address"":""""}","",""
"survey-html-form","4","76953","0.0-4.0","nytmf172to4ybdf","highA","combined","","31349.6799999848","","{""sona"":""Sally Howell""}","",""
"survey-html-form","5","95901","0.0-5.0","nytmf172to4ybdf","highA","combined","","18944.675000035204","","{""sex"":""female"",""age"":""19"",""other"":"""",""business_exp"":""0"",""business_edu"":""1""}","",""
"instructions","6","112262","0.0-6.0","nytmf172to4ybdf","highA","combined","[{""page_index"":0,""viewing_time"":9379.21499996446},{""page_index"":1,""viewing_time"":2837.7000000327826},{""page_index"":2,""viewing_time"":4143.229999928735}]","16360.764999990351","","","",""
"survey-html-form3","7","186526","0.0-7.0","nytmf172to4ybdf","highA","combined","","NaN","","{""allocation_q_projectA"":""80"",""allocation_q_projectB"":""20""}","",""
"survey-html-form","8","451379","0.0-8.0","nytmf172to4ybdf","highA","combined","","264853.6300000269","","{""follow_up_q_similarity_rating"":""4"",""follow_up_q_similarity_justify"":""Similar as both require investment in the oil industry "",""follow_up_q_relevance_specific_rating"":""6"",""follow_up_q_relevance_specific_justify"":""Had all relevant  information for an investment brief and summary of the investment opportunity cases"",""follow_up_q_relevance_general_rating"":""3"",""follow_up_q_relevance_general_justify"":""Simple figures that can suggest whether an investment from a financial point of view is worth pouring money into. More investigation around the respective companies is needed for a more holistic analysis of how successful the investment would be""}","",""
"instructions","9","455734","0.0-9.0","nytmf172to4ybdf","highA","combined","[{""page_index"":0,""viewing_time"":2586.244999896735},{""page_index"":1,""viewing_time"":1767.310000024736}]","4354.364999919198","","","",""
"html-button-response","10","457194","0.0-10.0","nytmf172to4ybdf","highA","combined","","1457.0649999659508","","","<p>Press below to complete the experiment. <br >Thank you!</p>","0"
