"trial_type","trial_index","time_elapsed","internal_node_id","subject","align_condition","anecdote_condition","view_history","rt","url","responses","stimulus","button_pressed"
"pavlovia","0","43","0.0-0.0","smlat1hm19sohbf","highA","statistics","","","","","",""
"instructions","1","35959","0.0-1.0","smlat1hm19sohbf","highA","statistics","[{""page_index"":0,""viewing_time"":4324.299999992945},{""page_index"":1,""viewing_time"":15126.375000007101},{""page_index"":2,""viewing_time"":10515.440000002855},{""page_index"":3,""viewing_time"":5946.859999996377}]","35914.07499999332","","","",""
"external-html","2","56621","0.0-2.0","smlat1hm19sohbf","highA","statistics","","20360.450000007404","js/consent.html","","",""
"survey-html-form","3","63850","0.0-3.0","smlat1hm19sohbf","highA","statistics","","7226.955000005546","","{""contact"":""no"",""address"":""""}","",""
"survey-html-form","4","84007","0.0-4.0","smlat1hm19sohbf","highA","statistics","","20156.28999999899","","{""sona"":""Rachel Kwok""}","",""
"survey-html-form","5","125252","0.0-5.0","smlat1hm19sohbf","highA","statistics","","41243.6699999962","","{""sex"":""female"",""age"":""18"",""other"":""Cantonese"",""business_exp"":""0"",""business_edu"":""0""}","",""
"instructions","6","164883","0.0-6.0","smlat1hm19sohbf","highA","statistics","[{""page_index"":0,""viewing_time"":9218.129999993835},{""page_index"":1,""viewing_time"":4873.800000001211},{""page_index"":2,""viewing_time"":25538.255000006757}]","39630.60499999847","","","",""
"survey-html-form3","7","208036","0.0-7.0","smlat1hm19sohbf","highA","statistics","","NaN","","{""allocation_q_projectA"":""85"",""allocation_q_projectB"":""15""}","",""
"instructions","8","223203","0.0-8.0","smlat1hm19sohbf","highA","statistics","[{""page_index"":0,""viewing_time"":12116.229999999632},{""page_index"":1,""viewing_time"":3050.019999995129}]","15166.574999995646","","","",""
"html-button-response","9","224720","0.0-9.0","smlat1hm19sohbf","highA","statistics","","1514.0099999989616","","","<p>Press below to complete the experiment. <br >Thank you!</p>","0"
