"trial_type","trial_index","time_elapsed","internal_node_id","subject","align_condition","anecdote_condition","view_history","rt","url","responses","stimulus","button_pressed"
"pavlovia","0","31","0.0-0.0","sz8dm8fqxu75c56","highA","statistics","","","","","",""
"instructions","1","97765","0.0-1.0","sz8dm8fqxu75c56","highA","statistics","[{""page_index"":0,""viewing_time"":92408.66000001552},{""page_index"":1,""viewing_time"":3545.3749999869615},{""page_index"":2,""viewing_time"":1183.500000013737},{""page_index"":3,""viewing_time"":594.9200000031851}]","97733.11500001","","","",""
"external-html","2","103582","0.0-2.0","sz8dm8fqxu75c56","highA","statistics","","5501.7900000093505","js/consent.html","","",""
"survey-html-form","3","108491","0.0-3.0","sz8dm8fqxu75c56","highA","statistics","","4906.870000006165","","{""contact"":""no"",""address"":""""}","",""
"survey-html-form","4","123100","0.0-4.0","sz8dm8fqxu75c56","highA","statistics","","14608.150000014575","","{""sona"":""Jiahui Li""}","",""
"survey-html-form","5","157918","0.0-5.0","sz8dm8fqxu75c56","highA","statistics","","34816.94999997853","","{""sex"":""female"",""age"":""19"",""other"":""Chinese"",""business_exp"":""3"",""business_edu"":""1""}","",""
"instructions","6","218475","0.0-6.0","sz8dm8fqxu75c56","highA","statistics","[{""page_index"":0,""viewing_time"":24083.789999975124},{""page_index"":1,""viewing_time"":5394.155000016326},{""page_index"":2,""viewing_time"":31076.020000007702}]","60554.369999998016","","","",""
"survey-html-form3","7","318887","0.0-7.0","sz8dm8fqxu75c56","highA","statistics","","NaN","","{""allocation_q_projectA"":""80"",""allocation_q_projectB"":""20""}","",""
"instructions","8","323160","0.0-8.0","sz8dm8fqxu75c56","highA","statistics","[{""page_index"":0,""viewing_time"":1697.7999999944586},{""page_index"":1,""viewing_time"":2574.0650000225287}]","4272.135000006529","","","",""
"html-button-response","9","324968","0.0-9.0","sz8dm8fqxu75c56","highA","statistics","","1806.6000000108033","","","<p>Press below to complete the experiment. <br >Thank you!</p>","0"
