"trial_type","trial_index","time_elapsed","internal_node_id","subject","align_condition","anecdote_condition","view_history","rt","url","responses","stimulus","button_pressed"
"pavlovia","0","54","0.0-0.0","zjsjb5moex7b0ke","highA","combined","","","","","",""
"instructions","1","10196","0.0-1.0","zjsjb5moex7b0ke","highA","combined","[{""page_index"":0,""viewing_time"":4548.090000054799},{""page_index"":1,""viewing_time"":3906.829999992624},{""page_index"":2,""viewing_time"":1138.2400000002235},{""page_index"":3,""viewing_time"":545.0949999503791}]","10139.79000004474","","","",""
"external-html","2","17192","0.0-2.0","zjsjb5moex7b0ke","highA","combined","","6525.290000019595","js/consent.html","","",""
"survey-html-form","3","21595","0.0-3.0","zjsjb5moex7b0ke","highA","combined","","4400.81999998074","","{""contact"":""no"",""address"":""""}","",""
"survey-html-form","4","35188","0.0-4.0","zjsjb5moex7b0ke","highA","combined","","13591.82500001043","","{""sona"":""Kira Ronto""}","",""
"survey-html-form","5","59158","0.0-5.0","zjsjb5moex7b0ke","highA","combined","","23965.85999999661","","{""sex"":""female"",""age"":""18"",""other"":""hungarian"",""business_exp"":""0"",""business_edu"":""0""}","",""
"instructions","6","124761","0.0-6.0","zjsjb5moex7b0ke","highA","combined","[{""page_index"":0,""viewing_time"":15524.525000015274},{""page_index"":1,""viewing_time"":15188.294999999925},{""page_index"":2,""viewing_time"":34886.539999977686}]","65599.72000005655","","","",""
"survey-html-form3","7","171032","0.0-7.0","zjsjb5moex7b0ke","highA","combined","","NaN","","{""allocation_q_projectA"":""70"",""allocation_q_projectB"":""30""}","",""
"survey-html-form","8","278914","0.0-8.0","zjsjb5moex7b0ke","highA","combined","","107876.27999996766","","{""follow_up_q_similarity_rating"":""2"",""follow_up_q_similarity_justify"":""had multiple differences in the table"",""follow_up_q_relevance_specific_rating"":""4"",""follow_up_q_relevance_specific_justify"":""all info is relevant since it needs to be compared"",""follow_up_q_relevance_general_rating"":""1"",""follow_up_q_relevance_general_justify"":""all projects are different ""}","",""
"instructions","9","292905","0.0-9.0","zjsjb5moex7b0ke","highA","combined","[{""page_index"":0,""viewing_time"":8550.169999944046},{""page_index"":1,""viewing_time"":5438.30500007607}]","13988.909999956377","","","",""
"html-button-response","10","295723","0.0-10.0","zjsjb5moex7b0ke","highA","combined","","2814.7550000576302","","","<p>Press below to complete the experiment. <br >Thank you!</p>","0"
